ID,Message,SPAM,Spam,text_norm,text_tokenized,text_lemmatized,Message_len,punct%
615317,Linda msg!,True,1,linda msg,"['linda', 'msg']","['linda', 'msg']",9,11.1
855344,To fazendo batida de kwui com coco,True,1,fazendo batida kwui coco,"['fazendo', 'batida', 'kwui', 'coco']","['fazendo', 'batida', 'kwui', 'coco']",28,0.0
1007222,"Esse dinheiro só vai sair para quem está com o nome na lista
Esse dinheiro só vai sair para quem está com o nome na lista
????
????
👍👍
👍👍",True,1,esse dinheiro sair nome lista esse dinheiro sair nome lista,"['esse', 'dinheiro', 'sair', 'nome', 'lista', 'esse', 'dinheiro', 'sair', 'nome', 'lista']","['esse', 'dinheiro', 'sair', 'nome', 'lista', 'esse', 'dinheiro', 'sair', 'nome', 'lista']",113,7.1
811063,Isso msm Irmã.. nao lembrava dos nomes kkk,True,1,isso msm irma lembrava nomes kkk,"['isso', 'msm', 'irma', 'lembrava', 'nomes', 'kkk']","['isso', 'msm', 'irma', 'lembrava', 'nome', 'kkk']",35,5.7
913944,Ai xara eu sujiro esse,True,1,xara sujiro,"['xara', 'sujiro']","['xara', 'sujiro']",18,0.0
565356,"Muito bom add vcs!!!
Bom dia
Sou de Nova Friburgo e nao perco um programa!!!
Acordo com vcs!!👍👍👍",True,1,muito add vcs bom dia sou nova friburgo perco programa acordo vcs,"['muito', 'add', 'vcs', 'bom', 'dia', 'sou', 'nova', 'friburgo', 'perco', 'programa', 'acordo', 'vcs']","['muito', 'add', 'vcs', 'bom', 'dia', 'sou', 'nova', 'friburgo', 'perco', 'programa', 'acordo', 'vcs']",82,9.8
852832,"Barata andando no supermercados extra de pilares
Não é a primeira vez que esse tipo de coisa acontece",False,0,barata andando supermercados extra pilares nao primeira vez tipo coisa acontece,"['barata', 'andando', 'supermercados', 'extra', 'pilares', 'nao', 'primeira', 'vez', 'tipo', 'coisa', 'acontece']","['barata', 'andando', 'supermercados', 'extra', 'pilares', 'nao', 'primeira', 'vez', 'tipo', 'coisa', 'acontece']",85,0.0
309309,Sua cachorrera me responde,True,1,sua cachorrera responde,"['sua', 'cachorrera', 'responde']","['sua', 'cachorrera', 'responde']",23,0.0
696871,"vai la esperar tony ent
eu nao assisto muito filme",True,1,esperar tony ent assisto filme,"['esperar', 'tony', 'ent', 'assisto', 'filme']","['esperar', 'tony', 'ent', 'assisto', 'filme']",42,0.0
743238,"Bom dia!!! O Bom Dia Rio está noticiando uma reportagem sobre a saúde pública do Hospital Aluísio Cardoso e veiculou a informação que uma paciente enviou uma MSG em um bilhete informando q teria que comprar o medicamento Sildenafila, pois o hospital não tinha disponível. Trata-se do princípio ativo do Cialis, medicamento para disfunção erétil. Acho q isso não é tão grave né??!!!",False,0,bom dia bom dia rio noticiando reportagem sobre saude publica hospital aluisio cardoso veiculou informacao paciente enviou msg bilhete informando comprar medicamento sildenafila pois hospital disponivel tratase principio ativo cialis medicamento disfuncao eretil acho tao grave,"['bom', 'dia', 'bom', 'dia', 'rio', 'noticiando', 'reportagem', 'sobre', 'saude', 'publica', 'hospital', 'aluisio', 'cardoso', 'veiculou', 'informacao', 'paciente', 'enviou', 'msg', 'bilhete', 'informando', 'comprar', 'medicamento', 'sildenafila', 'pois', 'hospital', 'disponivel', 'tratase', 'principio', 'ativo', 'cialis', 'medicamento', 'disfuncao', 'eretil', 'acho', 'tao', 'grave']","['bom', 'dia', 'bom', 'dia', 'rio', 'noticiando', 'reportagem', 'sobre', 'saude', 'publica', 'hospital', 'aluisio', 'cardoso', 'veiculou', 'informacao', 'paciente', 'enviou', 'msg', 'bilhete', 'informando', 'comprar', 'medicamento', 'sildenafila', 'poi', 'hospital', 'disponivel', 'tratase', 'principio', 'ativo', 'cialis', 'medicamento', 'disfuncao', 'eretil', 'acho', 'tao', 'grave']",319,4.1000000000000005
